GOOG,573.275,0.6086861656592963,589.59,-0.0009572262162804395,0.03865310699010957
FB,133.64,1.2416514264956335,119.59,0.0011815639381291421,0.03672172928408759
INTC,5.6399,0.6793962983683036,16.4374,-0.000855660050720262,0.027457494494338878
TSM,11.7909,0.9505651835513139,21.4993,0.0007678887017312365,0.02726563846670076
CSCO,10.4691,0.4976599802568096,11.5789,-0.0004240406433895195,0.024019187020925346
ORCL,9.989,0.43838480572851196,16.4245,-0.002154760067082831,0.02980829192785069
NVDA,148.2009,2.5961576690071615,172.3643,0.004203127097109933,0.04346521686185348
SAP,40.0102,0.4604310504217661,38.9173,-0.001541644690720494,0.028816513341209965
IBM,-19.9063,-0.1115282846031577,-18.8064,-0.00170117661313908,0.024654514272938917
ADBE,70.12,1.0542183215476344,103.34,0.00125377109872975,0.027495158696481607
TXN,48.1146,0.9519663476472668,48.6168,-0.0009416164001825044,0.023506027674495656
AVGO,94.1397,1.7974207108830542,203.1768,0.001991294121132541,0.03187060811667379
CRM,77.91,0.6129698764577629,43.11,-0.0004151724004590618,0.03667084597878218
QCOM,14.9937,-0.13125512716833376,-7.2094,-0.0017166184854746581,0.03947921232136384
MU,-6.79,0.8569855118366612,17.82,0.0012704171550446887,0.050570941640038
BIDU,140.995,0.5421747528534343,80.43,-0.0002851487202070331,0.04407066346865637
ADP,73.7344,0.557040263017171,40.068,0.00018718517638256183,0.032926441439725514
VMW,11.89,0.3390286930625119,27.94,-0.0011549006557871264,0.038713480702447206
ATVI,72.7532,1.3157890158492498,47.4625,0.001070660723703373,0.03798195679252223
AMAT,13.333,1.2172445941656487,31.3741,0.00026567891486254514,0.031888371185264136
INTU,190.109,0.8257919609699514,79.5025,-0.00015087966063648985,0.026438276961509296
CTSH,48.2987,0.5823623290482425,30.3132,-0.0011402914040652753,0.033262771586318955
EA,85.645,1.4921468072362423,93.54,0.0013028876671114555,0.0422830830842456
NXPI,117.0218,1.1099866899882567,74.9097,0.00044009038347296884,0.043581895290092654
INFY,7.5618,0.26960165652534673,1.7497,-0.0012825016696252564,0.03910216388552734
